gut | schlecht | bon | mauvais
schön | hässlich | beau | laid
groß | klein | grand | petit
jung | alt | jeune | vieux
schnell | langsam | rapide | lent
dick | dünn | gros | mince
hoch | niedrig | haut | bas
weit | nah | loin | proche
hell | dunkel | clair | sombre
warm | kalt | chaud | froid
süß | sauer | sucré | acide
stark | schwach | fort | faible
früh | spät | tôt | tard
teuer | billig | cher | bon marché
viel | wenig | beaucoup | peu
hart | weich | dur | mou
sauber | schmutzig | propre | sale
glücklich | traurig | heureux | triste
interessant | langweilig | intéressant | ennuyeux
einfach | schwierig | facile | difficile
wichtig | unwichtig | important | pas important
wahr | falsch | vrai | faux
richtig | falsch | correct | incorrect
bekannt | unbekannt | connu | inconnu
freundlich | unfreundlich | amical | hostile
fleißig | faul | travailleur | paresseux
geduldig | ungeduldig | patient | impatient
ehrlich | unehrlich | honnête | malhonnête
höflich | unhöflich | poli | impoli
lieb | böse | gentil | méchant
schlau | dumm | intelligent | stupide
mutig | feige | courageux | lâche
gesund | krank | sain | malade
stumm | laut | muet | bruyant
voll | leer | plein | vide
arm | reich | pauvre | riche
besser | schlechter | meilleur | pire
mehr | weniger | plus | moins
genug | zu wenig | assez | pas assez
oft | selten | souvent | rarement
immer | nie | toujours | jamais
froh | traurig | joyeux | triste
müde | fit | fatigué | en forme
schüchtern | selbstbewusst | timide | sûr de soi
nervös | ruhig | nerveux | calme
optimistisch | pessimistisch | optimiste | pessimiste
realistisch | unrealistisch | réaliste | irréaliste
logisch | unlogisch | logique | illogique
aktiv | passiv | actif | passif
kreativ | unkreativ | créatif | non créatif
produktiv | unproduktiv | productif | improductif
positiv | negativ | positif | négatif
modern | altmodisch | moderne | démodé
traditionell | unkonventionell | traditionnel | non conventionnel
flexibel | unflexibel | flexible | inflexible
dynamisch | statisch | dynamique | statique
komplex | einfach | complexe | simple
global | lokal | mondial | local
öffentlich | privat | public | privé
kostenlos | kostenpflichtig | gratuit | payant
sozial | asozial | social | antisocial
ökologisch | unökologisch | écologique | non écologique
nachhaltig | nicht nachhaltig | durable | non durable
frisch | alt | frais | vieux
saftig | trocken | juteux | sec
süß | bitter | doux | amer
glatt | rau | lisse | rugueux
scharf | stumpf | tranchant | émoussé
eng | weit | étroit | large
dicht | locker | dense | lâche
fein | grob | fin | grossier
fest | locker | ferme | lâche
fett | mager | gras | maigre
frech | artig | insolent | sage
fromm | gottlos | pieux | impie
fröhlich | traurig | joyeux | triste
gefährlich | sicher | dangereux | sûr
geizig | großzügig | avare | généreux
geliebt | gehasst | aimé | haï
gerecht | ungerecht | juste | injuste
gespannt | entspannt | tendu | détendu
getreu | untreu | fidèle | infidèle
gewandt | ungeschickt | habile | maladroit
glatt | holprig | lisse | cahoteux
glücklich | unglücklich | heureux | malheureux
golden | silbern | doré | argenté
großzügig | kleinlich | généreux | mesquin
gültig | ungültig | valide | invalide
gut | böse | bon | mauvais
heftig | sanft | violent | doux
heiß | kalt | chaud | froid
hoch | tief | haut | bas
hungrig | satt | affamé | rassasié
interessiert | uninteressiert | intéressé | désintéressé
kaputt | ganz | cassé | entier
klar | unklar | clair | obscur
klug | dumm | intelligent | stupide
komisch | ernst | drôle | sérieux
kurz | lang | court | long
laut | leise | fort | faible
leicht | schwer | léger | lourd
lustig | traurig | amusant | triste
müde | wach | fatigué | éveillé
naiv | erfahren | naïf | expérimenté
nass | trocken | mouillé | sec
nett | unfreundlich | gentil | désagréable
neugierig | uninteressiert | curieux | indifférent
offen | geschlossen | ouvert | fermé
ordentlich | unordentlich | ordonné | désordonné
pünktlich | unpünktlich | ponctuel | en retard
ruhig | laut | calme | bruyant
scharf | mild | épicé | doux
schlicht | auffällig | simple | voyant
schwarz | weiß | noir | blanc
sicher | unsicher | sûr | incertain
sonnig | wolkig | ensoleillé | nuageux
stolz | demütig | fier | humble
stumm | redselig | muet | bavard
tapfer | feige | courageux | lâche
treu | untreu | fidèle | infidèle
trüb | klar | trouble | clair
überrascht | unbeeindruckt | surpris | indifférent
unabhängig | abhängig | indépendant | dépendant
unendlich | endlich | infini | fini
unglaublich | glaubhaft | incroyable | crédible
uninteressant | interessant | inintéressant | intéressant
unzufrieden | zufrieden | insatisfait | satisfait
wertvoll | wertlos | précieux | sans valeur
wunderschön | hässlich | magnifique | laid
blind | sehend | aveugle | voyant
blöd | gescheit | stupide | intelligent
breit | schmal | large | étroit
bunt | einfarbig | coloré | uni
deutlich | undeutlich | clair | indistinct
